"turtle","CPT","mean_age","major","segment_pre","change_sign","segment_post","change_rate","change_rate_norm","classification"
"T12951","1","2019.0776578658","FALSE","increasing","negative","increasing","-6.13599685822524","-15.8144248923331","increasing stabilising"
"T12951","2","2017.5842565808","FALSE","increasing","negative","increasing","-8.20427341387967","-21.1450345718548","increasing stabilising"
"T12951","3","2016.64216166878","TRUE","stable","positive","increasing","18.320169078503","47.2169306146985","increasing reversal"
"T12951","4","2015.61759450783","FALSE","decreasing","positive","stable","8.53841061711904","22.0062129307192","increasing reversal"
"T12953","1","2018.05696930784","TRUE","decreasing","positive","decreasing","23.31186154057","32.8219738723665","decreasing stabilising"
"T12953","2","2016.82796559828","FALSE","decreasing","negative","decreasing","-8.35261756358297","-11.7600816631775","decreasing accelerating"
"T12953","3","2015.76141134406","TRUE","increasing","negative","decreasing","-34.6616308855109","-48.8019003252039","decreasing complete reversal"
"T12953","4","2014.58972962534","FALSE","stable","positive","increasing","7.74792499115784","10.9087037593404","increasing reversal"
"T12954","1","2017.78736896537","TRUE","increasing","negative","stable","-5.94350422725042","-48.2387427424949","decreasing reversal"
"T12956","1","2019.01228124819","TRUE","stable","positive","increasing","292.439310030526","146.847748543601","increasing reversal"
"T12956","2","2012.64292019511","TRUE","decreasing","positive","stable","117.290143045058","58.8969842348683","increasing reversal"
"T12956","3","2011.57245738434","TRUE","stable","negative","decreasing","-124.308184004805","-62.4210778802066","decreasing reversal"
"T12957","1","2014.38381549911","TRUE","decreasing","positive","stable","21.0895989734153","57.4521486710392","increasing reversal"
"T12957","2","2012.83019832838","TRUE","increasing","negative","decreasing","-26.3188615997984","-71.6976719846681","decreasing complete reversal"
"T13326","1","2017.24765228115","FALSE","decreasing","positive","stable","31.349526011227","23.3733864123917","increasing reversal"
"T13326","2","2016.19966281859","TRUE","decreasing","positive","decreasing","71.6223719554267","53.3997667105626","decreasing stabilising"
"T13326","3","2015.60319742178","TRUE","decreasing","negative","decreasing","-67.4863087157142","-50.3160261687353","decreasing accelerating"
"T13326","4","2014.44963165933","TRUE","increasing","negative","decreasing","-91.2843563176149","-68.0592278445921","decreasing complete reversal"
"T13326","5","2013.17708935164","TRUE","stable","positive","increasing","56.0805679508971","41.8122042570367","increasing reversal"
"T13327","1","2018.98174560768","TRUE","increasing","negative","stable","-265.268796892575","-236.169470661089","decreasing reversal"
"T13327","2","2018.59595304078","TRUE","increasing","positive","increasing","234.460406345876","208.740683813308","increasing accelerating"
"T13327","3","2017.42914017184","TRUE","stable","positive","increasing","30.1879983007766","26.8764500858331","increasing reversal"
"T13328","1","2019.18887179362","FALSE","stable","positive","stable","10.9896930956788","5.68650996977646","character(0)"
"T13328","2","2016.69259759645","TRUE","decreasing","positive","stable","104.776512640168","54.2155889649913","increasing reversal"
"T13328","3","2015.63044896474","TRUE","decreasing","negative","decreasing","-55.5071417556377","-28.7216314631516","decreasing accelerating"
"T13328","4","2014.94759163649","TRUE","stable","negative","decreasing","-81.9845026368253","-42.4220847254402","decreasing reversal"
"T13588","1","2017.64154916009","FALSE","decreasing","positive","stable","1.78779625136392","9.8230563261754","increasing reversal"
"T13588","2","2014.98868122426","FALSE","stable","negative","decreasing","-2.03273184401305","-11.168856285786","decreasing reversal"
"T13590","1","2018.81676427156","TRUE","decreasing","positive","stable","39.6146898597143","56.5924140853062","increasing reversal"
"T13590","2","2017.75095250617","TRUE","decreasing","negative","decreasing","-26.4751985503839","-37.8217122148342","decreasing accelerating"
"T13590","3","2017.37914460735","TRUE","increasing","negative","decreasing","-62.4472631894946","-89.2103759849923","decreasing complete reversal"
"T13590","4","2016.79063304873","TRUE","increasing","positive","increasing","32.2052842486316","46.0075489266165","increasing accelerating"
"T13765","1","2018.291103675","TRUE","decreasing","positive","stable","73.0998649692179","102.065985485087","increasing reversal"
"T13765","2","2017.34152797503","TRUE","increasing","negative","decreasing","-87.1710655515371","-121.712956857709","decreasing complete reversal"
"T13769","1","2020.7918539576","TRUE","increasing","negative","decreasing","-7.74774750113327","-82.9179245477822","decreasing complete reversal"
"T13769","2","2019.43601349343","TRUE","increasing","positive","increasing","5.56073976776676","59.5121356789303","increasing accelerating"
"T13769","3","2018.08388225746","TRUE","decreasing","positive","increasing","4.2896193099351","45.9083533927612","increasing complete reversal"
"T13769","4","2016.42003523195","TRUE","stable","negative","decreasing","-3.88471007196008","-41.5749347264711","decreasing reversal"
"T13771","1","2017.35707559667","FALSE","decreasing","positive","stable","3.91069906427441","15.1066994718438","increasing reversal"
"T13771","2","2012.63186225943","FALSE","decreasing","negative","decreasing","-1.77098354492977","-6.84115953263675","decreasing accelerating"
"T13771","3","2011.63040279378","FALSE","stable","negative","decreasing","-3.35100598502673","-12.9446524808324","decreasing reversal"
"T13776","1","2018.79832156368","FALSE","decreasing","negative","decreasing","-1.23274156773047","-2.61174060959846","decreasing accelerating"
"T13776","2","2016.52480759982","TRUE","decreasing","positive","decreasing","22.3091768057399","47.2652050969065","decreasing stabilising"
"T13796","1","2016.56118573369","TRUE","decreasing","positive","stable","29.561268451449","45.9355208635978","increasing reversal"
"T13796","2","2015.29764376082","TRUE","decreasing","negative","decreasing","-17.8632984039755","-27.7579400179044","decreasing accelerating"
"T13796","3","2014.83542298097","TRUE","stable","negative","decreasing","-17.9980354616793","-27.9673091434349","decreasing reversal"
"T13982","1","2018.58196024115","TRUE","decreasing","positive","stable","148.82153496052","116.186499809139","increasing reversal"
"T13982","2","2017.84357654848","TRUE","stable","negative","decreasing","-155.06099835613","-121.057712922318","decreasing reversal"
"T13982","3","2017.22608406804","FALSE","increasing","negative","stable","-31.7116717181674","-24.7576275907097","decreasing reversal"
"T13983","1","2020.00202828598","FALSE","decreasing","positive","stable","8.91100505300789","16.552717896321","increasing reversal"
"T13983","2","2018.90999853605","TRUE","decreasing","positive","decreasing","33.2399769569713","61.7452193300276","decreasing stabilising"
"T13983","3","2018.08303647292","TRUE","increasing","negative","decreasing","-50.4941121294863","-93.795793912434","decreasing complete reversal"
"T13987","1","2018.10429574937","TRUE","decreasing","positive","stable","279.185001915422","168.330603507834","increasing reversal"
"T13987","2","2017.57984678363","TRUE","decreasing","negative","decreasing","-153.244009665462","-92.3962836612629","decreasing accelerating"
"T13987","3","2017.5447843072","TRUE","increasing","negative","decreasing","-146.586401111546","-88.3821738125573","decreasing complete reversal"
"T13987","4","2016.80105268685","TRUE","increasing","negative","increasing","-62.2056426945403","-37.5060024876867","increasing stabilising"
"T13987","5","2016.17690251109","TRUE","increasing","positive","increasing","55.2262203061195","33.2978595906164","increasing accelerating"
"T13992","1","2018.40772149257","TRUE","decreasing","positive","stable","64.1608129859231","96.0872740747356","increasing reversal"
